시가,고가,저가,종가,거래량,거래대금,등락률
8160,8160,8070,8110,3735,30268240,0.5
4345,4345,4280,4300,91412,392739385,0.0
2520,2550,2505,2550,98952,250588990,1.8
4905,4945,4850,4850,24946,121635130,-0.82
3430,3455,3395,3425,104436,357692670,0.44
12900,13750,12900,13450,88624,1185785450,3.46
290,294,278,288,809889,232592344,0.0
3900,3970,3860,3905,67358,262747205,0.13
3680,3745,3680,3715,45670,169677055,1.23
3025,3080,3025,3065,36271,111115505,0.99
6640,6750,6640,6710,1088529,7309102260,1.21
3605,3625,3595,3620,156517,564843855,0.56
4185,4260,4175,4205,8160,34357515,0.6
165500,169000,165500,169000,1741,290882500,2.11
142000,143500,140500,142000,1475,209491500,0.71
100500,101500,100000,101000,663,66561000,0.5
67100,67800,67100,67300,164,11043100,-0.3
72900,73900,72600,73600,493,36185500,0.41
2955,2955,2940,2955,15934,46978480,0.0
8610,8750,8420,8450,1551041,13312644710,-1.17
5700,5890,5600,5800,606137,3477539720,3.57
4400,4425,4385,4405,52656,232317970,0.46
8510,8680,8490,8600,66427,568061730,1.06
3665,3730,3630,3680,187790,690038045,0.82
162,209,161,209,113591847,21937231981,29.81
2180,2195,2155,2165,79025,171391115,0.23
1895,1955,1850,1865,5707113,10874585845,-2.1
9340,9560,9320,9420,177081,1673329570,1.18
640,640,632,634,103733,65848347,-0.16
9150,9190,9050,9120,162377,1480767530,0.11
18500,18850,18500,18550,132,2450150,0.27
18450,18450,18350,18350,51,936250,-0.27
3395,3400,3340,3380,68656,231837280,0.3
77400,78800,77000,77300,4053,315286800,-0.13
630,660,625,644,851224,550297900,2.22
1355,1365,1320,1350,50834,68616490,-0.37
6180,6180,6020,6040,17441,105987000,-1.63
0,0,0,904,0,0,0.0
40000,40000,39600,39700,3429,136109550,0.25
29200,29600,29050,29450,6534,191605100,0.51
956,971,947,960,816481,782434771,0.63
44000,44550,43550,43900,7227,317068100,-0.79
4815,5760,4765,5050,7173314,38591156035,5.43
8160,8430,8120,8230,34377,283731600,1.11
1320,1355,1305,1320,1946686,2582378255,0.38
631000,633000,622000,629000,240412,151192065280,0.8
293500,294500,291000,293500,1545,452601500,1.38
10000,10000,9850,9920,8952,88586280,0.4
117500,119000,117000,117000,324204,38121579500,0.0
105500,105500,104500,104500,904,94718000,0.0
808000,817000,806000,811000,60143,48848760630,1.0
70800,72300,70600,70700,222325,15787070500,-0.42
124500,125500,121500,121500,131627,16109585000,-2.02
24050,24250,23750,23850,654583,15665353250,-0.21
146000,146000,143000,144500,404416,58267665500,-0.34
69300,69700,68500,69100,1562,107743200,-0.29
61100,61200,59900,60500,16081524,970974134100,0.0
54900,54900,54000,54900,692389,37773793800,0.37
2735,2755,2725,2750,68464,187424020,0.36
5140,5170,5090,5090,2469909,12642213330,-0.59
203000,225000,196500,196500,9156,1909628000,-7.09
33850,34150,33700,33750,214449,7260138400,-0.3
25000,25300,24800,25000,38804,972052900,0.4
30250,30450,30050,30100,86564,2611292100,-0.66
200000,204000,200000,201000,65861,13290904000,0.25
154000,155000,153500,155000,2522,389445500,0.65
41450,42000,39650,39650,375114,15160504200,-3.65
