시가,고가,저가,종가,거래량,거래대금,등락률
2850,2885,2780,2820,2241771,6339910840,-1.4
5990,5990,5830,5850,10577,62096160,-2.17
1580,1670,1530,1530,815269,1303795320,-2.86
15050,15100,14800,14800,313003,4665378000,-1.0
3930,4040,3930,3965,32776,130169250,0.89
2730,2755,2695,2745,44005,119990275,0.18
13000,13050,12700,12800,1267,16280150,-1.16
15600,15700,15200,15550,1167687,18082466050,1.3
4170,4300,4135,4205,206751,869655115,0.84
0,0,0,2035,0,0,0.0
4340,4355,4280,4330,64705,278906165,0.12
2035,2050,2035,2045,4354,8879930,0.49
20100,20500,19500,20100,48912,975252350,0.5
3270,3285,3165,3165,4340701,13951463515,-0.31
8260,8260,8090,8160,90612,739011790,0.37
4765,4835,4715,4805,70640,337047675,0.95
4110,4110,4045,4055,106179,431782295,-0.49
12700,12900,12600,12650,11968,152082600,0.4
11050,13950,10900,13250,9826941,125944171450,22.12
2715,2750,2660,2660,154458,415209785,-1.12
1090,1090,1050,1060,451155,477336190,-0.93
11350,11350,11050,11050,158238,1756973850,-1.78
20550,20850,20000,20400,24584,497014300,-0.73
29050,29400,28800,28800,122635,3562146350,-0.69
24850,25500,24850,25350,960,24231900,0.4
1045,1045,1010,1015,152207,155550695,-1.46
10600,11550,10500,11350,44290,493014900,6.57
3635,3640,3585,3630,39857,144208025,-0.14
18250,19450,17950,18900,39380,739985150,3.85
8200,8200,8030,8140,81412,659865730,-0.12
7310,7320,7200,7250,361009,2613101840,-0.68
1480,1480,1420,1455,542788,786032040,-2.02
5170,5600,5140,5410,156533,839560760,5.46
7410,7490,7330,7440,34612,256500250,0.0
33300,33950,32900,33800,66578,2240705050,2.89
36150,36650,35750,36500,110807,4019755950,1.11
8210,8260,8090,8190,30967,253770920,-1.21
3265,3305,3225,3275,38293,124820125,0.31
1545,1620,1495,1565,5802253,9036813805,1.29
1615,1660,1580,1605,3029291,4892217145,0.31
27150,27650,27050,27150,73955,2023651850,1.12
2650,2650,2565,2565,43853,113421410,-1.72
2160,2160,2110,2135,57235,121461470,0.0
8110,8110,7820,7930,541342,4297902510,-1.73
0,0,0,3165,0,0,0.0
5970,6070,5890,5920,25248,149520220,-0.84
11550,11650,11400,11450,21261,243953650,-1.29
34850,36200,34600,34650,101881,3607152850,-0.86
4100,4140,4025,4065,1206533,4931893855,0.62
1760,1765,1720,1750,54305,94666285,0.0
2370,2430,2275,2330,1502313,3511177405,-1.27
4930,4980,4925,4980,27130,134336710,1.22
6920,6920,6790,6890,11773,80814420,-0.29
31150,31500,30800,31400,33250,1033794250,1.29
6410,6770,6050,6140,1304949,8427674870,-3.15
7500,7500,7350,7460,11152,82736240,0.0
4980,4995,4720,4765,899477,4359925415,-4.32
12000,12100,11600,11750,46909,550811050,-2.08
8530,8530,8130,8190,198066,1634340110,-4.1
7160,7260,7010,7040,126644,895234330,-1.12
5400,5420,5320,5350,94837,507837600,-0.37
1550,1570,1525,1530,55570,85595375,-0.97
3950,3950,3850,3870,34555,134103700,0.0
2130,2145,2080,2115,39786,83481375,-0.7
41500,42150,41000,41300,15694,652820850,0.36
3735,4525,3675,4225,25689074,107811811140,15.12
0,0,0,640,0,0,0.0
787,790,771,775,656300,510447826,-1.4
8920,9090,8870,9000,7149,63698220,1.12
2385,2385,2300,2300,519588,1211126180,-2.75
14900,14900,14400,14700,28568,417617000,0.0
8560,8750,8410,8650,37965,328368540,2.13
8860,8860,8650,8800,17195,150391570,-0.68
22150,22150,21300,21450,527129,11364151700,-1.61
7220,7590,7100,7500,1369522,10160369230,4.75
2480,2480,2355,2395,98622,237231590,-2.44
2015,2015,1980,2005,25280,50653005,-0.25
4090,4120,3955,4105,195270,789426450,0.98
668,678,655,670,95214,63530846,-0.3
14900,15200,14700,15000,79411,1191092200,2.39
3200,3405,3095,3370,3948177,12914769855,5.81
7550,7670,7460,7550,17340,130961140,0.27
14200,15200,14200,15050,343340,5106903300,6.36
929,944,921,932,344595,321127010,0.54
7650,7650,7350,7420,697534,5199047520,2.34
423,445,412,412,387850,163074780,-1.67
2010,2020,1980,2015,68401,136832970,0.25
8420,8440,8170,8230,1146351,9538591250,-1.32
6520,6550,6370,6380,96459,619217780,-1.85
978,996,975,978,227308,223630803,0.0
8980,8980,8770,8850,31932,282590470,-1.45
7600,7650,7480,7590,30273,228897800,0.0
5680,5840,5670,5680,597851,3430797880,-0.35
